280,"Alisson","Brazil",18,1620,"Goalkeeper",0,0,16,0,558,0,26,0,0,40
281,"C. Kelleher","Republic of Ireland",1,90,"Goalkeeper",0,0,0,0,38,0,36,0,0,40
300,"G. Wijnaldum","Netherlands",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,40
301,"B. Woodburn","Wales",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,40
307,"X. Shaqiri","Switzerland",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,40
1972,"L. Karius","Germany",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,40
8598,"T. Awoniyi","Nigeria",0,0,"Attacker",0,0,0,0,0,0,0,0,0,40
18812,"Adrián","Spain",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,40
19221,"H. Wilson","Wales",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,40
19437,"B. Davies","England",0,0,"Defender",0,0,0,0,0,0,0,0,0,40
22010,"S. Ojo","England",0,0,"Attacker",0,0,0,0,0,0,0,0,0,40
36922,"S. van den Berg","Netherlands",0,0,"Defender",0,0,0,0,0,0,0,0,0,40
138411,"L. Hughes","Northern Ireland",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,40
138826,"A. Lewis","England",0,0,"Defender",0,0,0,0,0,0,0,0,0,40
151754,"L. Clarkson","England",3,103,"Midfielder",0,0,0,0,0,0,0,0,0,40
152975,"J. Cain","England",2,17,"Midfielder",0,0,0,0,0,0,0,0,0,40
162441,"J. Ojrzyński","Poland",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,40
162904,"R. Williams","England",0,0,"Defender",0,0,0,0,0,0,0,0,0,40
180866,"Marcelo","Brazil",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,40
314661,"J. Danns","England",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,40
