2507,"M. Almirón","Paraguay",16,977,"Midfielder",8,0,0,0,261,11,13,1,0,34
2806,"F. Schär","Switzerland",9,791,"Defender",2,0,0,1,341,4,24,2,0,34
18873,"R. Fraser","Scotland",14,599,"Midfielder",5,0,0,1,147,7,8,1,0,34
18885,"K. Darlow","England",8,720,"Goalkeeper",0,0,15,0,221,0,15,1,0,34
18889,"F. Woodman","England",4,360,"Goalkeeper",0,0,12,0,107,0,15,0,0,34
18891,"C. Clark","Republic of Ireland",12,993,"Defender",6,0,0,1,362,4,23,2,1,34
18892,"P. Dummett","Wales",0,0,"Defender",0,0,0,0,0,0,0,0,0,34
18893,"F. Fernández","Argentina",7,522,"Defender",4,0,0,0,207,1,25,0,0,34
18894,"J. Lascelles","England",15,1350,"Defender",9,1,0,0,437,3,22,5,0,34
18896,"Javi Manquillo","Spain",12,1038,"Defender",3,1,0,2,261,4,15,5,0,34
18899,"I. Hayden","England",14,1003,"Midfielder",3,1,0,0,331,2,20,5,0,34
18903,"M. Ritchie","Scotland",16,1317,"Midfielder",5,0,0,2,480,29,23,5,0,34
18904,"J. Shelvey","England",11,815,"Midfielder",11,1,0,0,400,11,28,3,0,34
18924,"J. Hendrick","Republic of Ireland",3,70,"Midfielder",1,1,0,0,29,1,9,0,0,34
19076,"J. Lewis","Northern Ireland",5,263,"Defender",0,0,0,0,79,1,12,1,0,34
19163,"J. Murphy","England",16,783,"Midfielder",13,1,0,1,270,8,12,2,0,34
22173,"A. Saint-Maximin","France",19,1624,"Midfielder",27,4,0,3,396,27,15,3,0,34
44912,"M. Gillespie","England",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,34
130419,"M. Longstaff","England",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,34
138909,"D. Langley","England",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,34
