130,"Nélson Semedo","Portugal",16,1393,"Defender",9,0,0,0,592,7,28,1,0,39
285,"K. Hoever","Netherlands",6,190,"Defender",1,0,0,0,76,1,25,1,0,39
652,"Fernando Marçal","Brazil",10,866,"Defender",4,0,0,0,388,2,30,2,0,39
1590,"José Sá","Portugal",18,1620,"Goalkeeper",0,0,14,1,410,3,13,1,0,39
1649,"P. Cutrone","Italy",0,0,"Attacker",0,0,0,0,0,0,0,0,0,39
1853,"Bruno Jordão","Portugal",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,39
2922,"L. Dendoncker","Belgium",14,690,"Defender",6,0,0,1,287,6,17,3,0,39
18737,"J. Ruddy","England",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,39
18739,"W. Boly","Côte d'Ivoire",0,0,"Defender",0,0,0,0,0,0,0,0,0,39
18740,"Jonny Castro","Spain",0,0,"Defender",0,0,0,0,0,0,0,0,0,39
18741,"C. Coady","England",18,1617,"Defender",4,1,0,0,767,0,37,2,0,39
18744,"M. Kilman","England",18,1620,"Defender",7,1,0,0,874,3,42,3,0,39
18746,"M. Gibbs-White","England",2,7,"Midfielder",1,0,0,0,9,0,3,1,0,39
21138,"R. Aït Nouri","France",9,719,"Defender",4,0,0,1,335,8,27,1,0,39
130418,"A. Søndergaard","Denmark",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,39
144741,"L. Moulden","England",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,39
152963,"O. Otasowie","USA",0,0,"Midfielder",0,0,0,0,0,0,0,0,0,39
280687,"Hugo Bueno","Spain",0,0,"Defender",0,0,0,0,0,0,0,0,0,39
280688,"T. Corbeanu","Canada",0,0,"Attacker",0,0,0,0,0,0,0,0,0,39
288115,"J. Storer","England",0,0,"Goalkeeper",0,0,0,0,0,0,0,0,0,39
